Title,Author,Average Rating,Rating,Year Published,Edition
"Python Machine Learning: Discover the Essentials of Machine Learning, Data Analysis, Data Science, Data Mining and Artificial Intelligence Using Python Code with Python Tricks",Samuel Hack,4.12,8,0,7
Data Analysis with Python and PySpark,Jonathan Rioux,4.33,15,0,4
Back to Basics: Data Analysis,Lillian Pierson,4.06,16,0,2
Qualitative Data Analysis: Practical Strategies,Patricia Bazeley,3.96,23,2013,10
IBM SPSS Statistics 19 Guide to Data Analysis,Marija Norusis,4.22,9,2011,2
"Good, the Bad, and the Data: Shane the Lone Ethnographer’s Basic Guide to Qualitative Data Analysis",Sally Campbell Galman,4.28,18,2013,9
"R Cookbook: Proven Recipes for Data Analysis, Statistics, and Graphics",J.D. Long,4.08,12,0,4
Microsoft Excel 2016 : Data Analysis And Business Modeling,WANSTON,4.56,9,0,1
Research Methods and Data Analysis for Psychology,Stuart Wilson,3.45,22,2011,1
"Basic Marketing Research: Using Microsoft Excel Data Analysis, 3rd Edition",Alvin C. Burns,3.63,19,2004,20
The Power of Power Query: Revolutionize Your Data Analysis and Transformation Skills,Roshan Deno,4.52,52,0,2
PYTHON FOR DATA ANALYSIS: Master the Basics of Data Analysis in Python Using Numpy & Pandas: Answers all your Questions Step-by-Step (Programming for Beginners: A Friendly Q & A Guide Book 2),Ryshith Doyle,3.67,6,0,2
Python: 2 books in 1: Python For Beginners + Python Programming . Master the machine language Data Science Analysis and Artificial intelligence. Exercises included!,Marc Matthes,4.00,1,0,4
Excel Pivot Tables: Basic Beginners Guide to Learn Excel Pivot Tables for Data Analysis and Modeling,M.G. Martin,3.00,3,0,2
"Hands-On Exploratory Data Analysis with Python: Perform EDA techniques to understand, summarize, and investigate your data",Suresh Kumar Mukhiya,3.55,11,0,2
Qualitative Data Analysis with ATLAS.ti,Susanne Friese,3.97,37,2011,15
"Statistics for Ecologists Using R and Excel: Data Collection, Exploration, Analysis and Presentation",Mark Gardener,4.24,17,2011,9
Topological Data Analysis for Genomics and Evolution: Topology in Biology,Raúl Rabadán,4.38,8,0,4
Python for data analysis: Tutorial for beginners (Python Series Book 1),Eric Marston,2.33,3,0,2
Applied Missing Data Analysis,Craig K. Enders,4.32,22,2010,8
Data Analysis Using Stata,Ulrich Kohler,4.00,36,2000,13
Exploring Data: An Introduction to Data Analysis for Social Scientists,Catherine  Marsh,3.56,9,1988,14
Behavioral Data Analysis with R and Python: Customer-Driven Data for Real Business Results,Florent Buisson,4.17,6,0,3
RNA-seq Data Analysis: A Practical Approach (Chapman & Hall/CRC Computational Biology Series),Eija Korpelainen,4.11,9,2014,4
Bioimage Data Analysis Workflows,Kota Miura,0.00,0,0,6
A Practical Guide to Data Analysis for Physical Science Students,Louis Lyons,3.48,21,1991,8
"Excel Data Analysis: Your visual blueprint for analyzing data, charts, and PivotTables",Jinjer L. Simon,3.45,20,2003,7
"The Research Driven Investor: How to Use Information, Data and Analysis for Investment Success",Timothy Hayes,3.70,10,2000,3
Data Analysis in Qualitative Research: Theorizing with Abductive Analysis,Stefan Timmermans,4.70,10,0,3
Graphical Data Analysis with R (Chapman & Hall/CRC The R Series),Antony Unwin,4.80,5,0,10
Data Analysis for the Life Sciences with R,Rafael A. Irizarry,3.64,14,0,10
"Python Programming: 2 Books in 1: Python for Beginners and for Data Analysis. The Ultimate Crash Course with Hands-on Exercises, Step-by-Step Guidance ... to Data Analysis. (Data Science Book 5)",Andrew Park,4.25,4,0,1
Data Analytics: Models and Algorithms for Intelligent Data Analysis,Thomas A. Runkler,3.18,11,2012,9
Microsoft Excel and Business Data Analysis for The Busy Professional,Michael Olafusi,3.38,8,2015,2
Qualitative Data Analysis: An Introduction,Carol Grbich,3.45,11,2007,3
Python Data Analysis Cookbook,Ivan Idris,3.67,3,0,3
Intelligent Data Analysis,Michael R. Berthold,3.73,11,2006,2
Guerilla Data Analysis Using Microsoft Excel,Bill Jelen,3.67,21,2002,6
Microsoft Access Data Analysis: Unleashing the Analytical Power of Access,Michael    Alexander,4.11,19,2005,8
Parallel R: Data Analysis in the Distributed World,Q. Ethan McCallum,3.32,22,2011,6
The Art of Data Analysis: How to Answer Almost Any Question Using Basic Statistics,Kristin H Jarman,3.14,7,2013,6
Excel Data Analysis: Modeling and Simulation,Hector Guerrero,3.80,10,2010,2
"EXCEL: Strategic Use of the Calc Spreadsheet in Business Environment. Data Analysis and Business Modeling (Functions and Formulas, Macros, MS Excel 2016, Shortcuts, Microsoft Office)",Francesco Iannello,2.89,9,0,2
A Student's Guide to Data and Error Analysis,Herman J.C. Berendsen,3.83,6,2011,14
R for Data Analysis in easy steps - R Programming essentials,Mike  McGrath,4.00,19,0,3
Information Security Risk Assessment Toolkit: Practical Assessments through Data Collection and Data Analysis,Mark Talabis,3.90,21,2012,6
SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL,Upom Malik,3.86,14,0,1
Dyadic Data Analysis,David A. Kenny,4.05,19,2006,10
Random Data: Analysis & Measurement Procedures,Julius S. Bendat,4.33,9,1986,15
"Introducing Proteomics: From Concepts to Sample Separation, Mass Spectrometry and Data Analysis",Josip Lovric,3.90,10,2010,12
Bayesian Methods for Data Analysis,Bradley P. Carlin,3.83,12,2008,7
SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL,Chad Knowles,4.75,4,0,3
Qualitative Data Analysis: An Introduction,Carol Grbich,4.00,17,2006,13
Data Science for Beginners: Comprehensive Guide to Most Important Basics in Data Science,Alex Campbell,4.07,14,0,2
"Building the Unstructured Data Warehouse: Architecture, Analysis, and Design",William H. Inmon,4.38,8,2011,7
Beginning Statistics with Data Analysis (Dover Books on Mathematics),Frederick Mosteller,4.17,6,1983,7
Software for Data Analysis: Programming with R,John Chambers,3.20,15,2008,1
